TITLE: Bill of Materials
BOM NO: 05-058924-01-a.csv
DATE: 09/10/2020
DESIGN: 02_058924a_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
23,1,E027130,"INDUCTOR  WIREWOUND COMMON MODE CHOKE COIL FOR POWER LINES, 0.056OHM DCR, 2A"," 800OHMS AT 100MEGHZ",L2020_A,N/A,N/A,N/A,L3,MURATA," DLW5BSM801TQ2L",REL,N/A,N/A,N/A,N/A,N/A,?,?
24,1,E010399,IND CHIP COIL," 1uH",L0805,20,N/A,N/A,L4,MURATA MANUFACTURING," LQM21PN1R0MC0D",REL,N/A,N/A,N/A,N/A,7004971,?,?
25,1,E015753,CONN-PCB RCPT MICRO USB AB," 47590-0001",CNMOLEX47590-0001,N/A,N/A,N/A,P1,MOLEX," 47590-0001",REL,N/A,N/A,N/A,N/A,6001617,?,?
26,1,E003678,RES PRECISION THICK FILM CHIP R0603," 1K",R0603,1,N/A,1/10W,R1,PANASONIC," ERJ-3EKF1001V",REL,A003-0032-013,41816DG207,FEC 911-239,N/A,7001194,?,?
27,1,E006826,RES FILM SMD 0603," 0",R0603,5,N/A,1/10W,R2,PANASONIC," ERJ-3GEY0R00V",REL,A003-0038-001,N/A,N/A,N/A,7008623,?,?
28,1,E028356,"RES PRECISION THICK FILM CHIP, FOR AUTOMOTIVE"," 365",R0402,1,N/A,1/10W,R3,PANASONIC," ERJ-2RKF3650X",REL,N/A,N/A,N/A,N/A,N/A,?,?
29,1,E023448,RES THICK FILM CHIP," 1K",R0805,1,150V,1/3W,R4,VISHAY," CRCW08051K00FKEAHP",REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E025179,RES PRECISION THICK FILM CHIP," 115K",R0402,1,N/A,1/10W,R5,PANASONIC," ERJ-2RKF1153X",REL,N/A,N/A,N/A,N/A,N/A,?,?
31,1,E022436,RES PRECISION THICK FILM CHIP," 60.4K",R0402,1,N/A,1/10W,R6,PANASONIC," ERJ-2RKF6042X",REL,N/A,N/A,N/A,N/A,N/A,?,?
32,1,E025180,RES PRECISION THICK FILM CHIP," 182K",R0402,1,N/A,1/10W,R7,PANASONIC," ERJ-2RKF1823X",REL,N/A,N/A,N/A,N/A,N/A,?,?
33,1,E011195,RES PRECISION THICK FILM CHIP," 301",R0402,1,N/A,1/16W,R8,PANASONIC," ERJ-2RKF3010X",REL,N/A,N/A,N/A,1576_CAB3,7007221,?,?
34,1,E026150,IC-ADI 700MEGHZ TO 1KMEGHZ 1 W RF DRIVER AMPLIFIER," ADL5605ACPZ",QFN16_4X4_PAD2_36X2_36,N/A,N/A,?,U1,ANALOG DEVICES," ADL5605ACPZ-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
35,1,E035980,IC-ADI PIN-SELECTABLE TEMPERATURE SWITCHES," ADT6402SRJZ",TSOT23_6,N/A,N/A,?,U2,ANALOG DEVICES," ADT6402SRJZ-RL7",REL,N/A,N/A,N/A,N/A,N/A,?,?
36,1,E037112,IC-TTL SINGLE BUFFER GATE WITH 3-STATE OUTPUT," 74AHCT1G126SE-7",SOT353,N/A,N/A,?,U3,DIODES INCORPORATED," 74AHCT1G126SE-7",REL,N/A,N/A,N/A,N/A,1001522,?,?
37,1,E028897,IC-LIN INVERTING OR SEPIC UMODULE DC/DC CONVERTER WITH UP TO 700MA OUTPUT CURRENT," LTM8045MPY#PBF",BGA40,N/A,N/A,?,U4,LINEAR TECHNOLOGY," LTM8045MPY#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI

